gamepiece_index,x_3d,y_3d,z_3d,rot_z_deg,bb_x_2d,bb_y_2d,bb_width,bb_height
0,-1.5,-1.0,0.1,135,0,0.0,1270.0,720.0
0,-1.5,-1.0,0.1,315,0,0.0,1270.0,720.0
0,-1.5,-0.75,0.1,45,0,0.0,1188.7239229679108,720.0
0,-1.5,-0.75,0.1,135,0,0.0,79.38530437648296,720.0
0,-1.5,-0.75,0.1,135,0,0.0,1049.6676397323608,720.0
0,-1.5,-0.75,0.1,225,0,0.0,1188.7239986658096,720.0
0,-1.5,-0.75,0.1,315,0,0.0,79.38498266041279,720.0
0,-1.5,-0.75,0.1,315,0,0.0,1049.668093919754,720.0
0,-1.5,-0.75,0.35,45,0,0.0,1270.0,720.0
0,-1.5,-0.75,0.35,135,0,0.0,1270.0,720.0
0,-1.5,-0.75,0.35,225,0,0.0,1270.0,720.0
0,-1.5,-0.75,0.35,315,0,0.0,1270.0,720.0
0,-1.5,-0.5,0.1,0,0,0.0,27.96472704038024,720.0
0,-1.5,-0.5,0.1,0,0,0.0,290.83183839917183,720.0
0,-1.5,-0.5,0.1,0,0,0.0,453.1174033880234,720.0
0,-1.5,-0.5,0.1,45,0,0.0,349.50529873371124,720.0
0,-1.5,-0.5,0.1,45,0,0.0,910.5703282356262,720.0
0,-1.5,-0.5,0.1,90,0,0.0,310.21496668457985,720.0
0,-1.5,-0.5,0.1,90,0,0.0,477.5788766145706,720.0
0,-1.5,-0.5,0.1,135,0,0.0,394.3058133125305,720.0
0,-1.5,-0.5,0.1,135,0,0.0,871.1579900979996,720.0
0,-1.5,-0.5,0.1,180,0,0.0,27.96467736363411,720.0
0,-1.5,-0.5,0.1,180,0,0.0,290.8318005502224,720.0
0,-1.5,-0.5,0.1,180,0,0.0,453.11736553907394,720.0
0,-1.5,-0.5,0.1,225,0,0.0,349.5052608847618,720.0
0,-1.5,-0.5,0.1,225,0,0.0,910.5703282356262,720.0
0,-1.5,-0.5,0.1,270,0,0.0,310.215023458004,720.0
0,-1.5,-0.5,0.1,270,0,0.0,477.57891446352005,720.0
0,-1.5,-0.5,0.1,315,0,0.0,394.3058133125305,720.0
0,-1.5,-0.5,0.1,315,0,0.0,871.1582171916962,720.0
0,-1.5,-0.5,0.35,45,0,0.0,119.4825192540884,720.0
0,-1.5,-0.5,0.35,45,0,0.0,1048.393795490265,720.0
0,-1.5,-0.5,0.35,135,0,0.0,249.16122376918793,720.0
0,-1.5,-0.5,0.35,135,0,0.0,965.620414018631,720.0
0,-1.5,-0.5,0.35,225,0,0.0,119.48226377367973,720.0
0,-1.5,-0.5,0.35,225,0,0.0,1048.3938711881638,720.0
0,-1.5,-0.5,0.35,315,0,0.0,249.16111022233963,720.0
0,-1.5,-0.5,0.35,315,0,0.0,965.6207168102264,720.0
0,-1.5,-0.5,0.6,45,0,0.0,1270.0,720.0
0,-1.5,-0.5,0.6,90,0,708.7645369023085,438.84346693754196,0.00011466443538665771
0,-1.5,-0.5,0.6,135,0,0.0,1186.0309702157974,720.0
0,-1.5,-0.5,0.6,180,0,673.8611286878586,410.2305695414543,0.00013947486877441406
0,-1.5,-0.5,0.6,225,0,0.0,1270.0,720.0
0,-1.5,-0.5,0.6,315,0,0.0,1186.0316514968872,720.0
0,-1.5,-0.5,0.8499999999999999,90,0,630.4076153039932,122.1751219034195,5.364418029785156e-05
0,-1.5,-0.5,0.8499999999999999,90,0,602.38938331604,411.3244041800499,0.00010728836059570312
0,-1.5,-0.5,0.8499999999999999,135,0,0.0,1270.0,720.0
0,-1.5,-0.5,0.8499999999999999,180,0,589.5802474021912,102.30184026062489,0.00012874603271484375
0,-1.5,-0.5,0.8499999999999999,180,0,567.8534638881683,380.1891013979912,0.00012874603271484375
0,-1.5,-0.5,0.8499999999999999,315,0,0.0,1270.0,720.0
0,-1.5,-0.25,0.1,0,0,0.0,142.60958045721054,720.0
0,-1.5,-0.25,0.1,0,0,0.0,342.7749228477478,720.0
0,-1.5,-0.25,0.1,0,0,0.0,475.9760871529579,705.4476146399975
0,-1.5,-0.25,0.1,45,0,0.0,464.27970200777054,720.0
0,-1.5,-0.25,0.1,45,0,0.0,818.4283477067947,720.0
0,-1.5,-0.25,0.1,90,0,0.0,154.47896368801594,720.0
0,-1.5,-0.25,0.1,90,0,0.0,360.7250899076462,720.0
0,-1.5,-0.25,0.1,90,0,0.0,497.9651913046837,720.0
0,-1.5,-0.25,0.1,135,0,0.0,1.2238845159299672,720.0
0,-1.5,-0.25,0.1,135,0,0.0,481.3781541585922,720.0
0,-1.5,-0.25,0.1,135,0,0.0,800.0890177488327,720.0
0,-1.5,-0.25,0.1,180,0,0.0,142.60960884392262,720.0
0,-1.5,-0.25,0.1,180,0,0.0,342.77488499879837,720.0
0,-1.5,-0.25,0.1,180,0,0.0,475.9760493040085,705.4476937651634
0,-1.5,-0.25,0.1,225,0,0.0,464.2796641588211,720.0
0,-1.5,-0.25,0.1,225,0,0.0,818.4282720088959,720.0
0,-1.5,-0.25,0.1,270,0,0.0,154.47900153696537,720.0
0,-1.5,-0.25,0.1,270,0,0.0,360.7251277565956,720.0
0,-1.5,-0.25,0.1,270,0,0.0,497.9651913046837,720.0
0,-1.5,-0.25,0.1,315,0,0.0,1.2235513416817412,720.0
0,-1.5,-0.25,0.1,315,0,0.0,481.37819200754166,720.0
0,-1.5,-0.25,0.1,315,0,0.0,800.0891691446304,720.0
0,-1.5,-0.25,0.35,0,0,0.0,72.04585373401642,709.4992965459824
0,-1.5,-0.25,0.35,0,0,0.0,310.24515122175217,664.6336913108826
0,-1.5,-0.25,0.35,0,0,0.0,461.50450348854065,636.1436051130295
0,-1.5,-0.25,0.35,45,0,0.0,402.151597738266,720.0
0,-1.5,-0.25,0.35,45,0,0.0,870.7443010807037,720.0
0,-1.5,-0.25,0.35,90,0,0.0,83.20592872798443,720.0
0,-1.5,-0.25,0.35,90,0,0.0,329.1569843888283,691.5307760238647
0,-1.5,-0.25,0.35,90,0,0.0,485.07959216833115,661.5644985437393
0,-1.5,-0.25,0.35,135,0,0.0,432.84081280231476,720.0
0,-1.5,-0.25,0.35,135,0,0.0,841.291913986206,720.0
0,-1.5,-0.25,0.35,180,0,0.0,72.04588685184717,709.4993408024311
0,-1.5,-0.25,0.35,180,0,0.0,310.24515122175217,664.6337288618088
0,-1.5,-0.25,0.35,180,0,0.0,461.5044656395912,636.1436587572098
0,-1.5,-0.25,0.35,225,0,0.0,402.1515220403671,720.0
0,-1.5,-0.25,0.35,225,0,0.0,870.7442253828049,720.0
0,-1.5,-0.25,0.35,270,0,0.0,83.20597603917122,720.0
0,-1.5,-0.25,0.35,270,0,0.0,329.1569843888283,691.5307384729385
0,-1.5,-0.25,0.35,270,0,0.0,485.0796300172806,661.5644717216492
0,-1.5,-0.25,0.35,315,0,0.0,432.8408506512642,720.0
0,-1.5,-0.25,0.35,315,0,0.0,841.2920653820038,720.0
0,-1.5,-0.25,0.6,0,0,0.0,444.13535565137863,552.9630303382874
0,-1.5,-0.25,0.6,45,0,0.0,268.93379881978035,720.0
0,-1.5,-0.25,0.6,45,0,0.0,964.8101437091827,720.0
0,-1.5,-0.25,0.6,90,0,590.6667566299438,289.37696263194084,9.655952453613281e-05
0,-1.5,-0.25,0.6,90,0,0.0,469.5191699266434,577.9665505886078
0,-1.5,-0.25,0.6,135,0,0.0,339.4658648967743,720.0
0,-1.5,-0.25,0.6,135,0,0.0,909.9017643928528,720.0
0,-1.5,-0.25,0.6,180,0,564.1272854804993,269.5660276710987,6.437301635742188e-05
0,-1.5,-0.25,0.6,180,0,0.0,444.13527995347977,552.9631161689758
0,-1.5,-0.25,0.6,225,0,0.0,268.9336474239826,720.0
0,-1.5,-0.25,0.6,225,0,0.0,964.8100680112839,720.0
0,-1.5,-0.25,0.6,270,0,0.0,469.5192077755928,577.9665398597717
0,-1.5,-0.25,0.6,315,0,0.0,339.4657891988754,720.0
0,-1.5,-0.25,0.6,315,0,0.0,909.9019914865494,720.0
0,-1.5,-0.25,0.8499999999999999,45,0,0.0,1183.7838780879974,720.0
0,-1.5,-0.25,0.8499999999999999,90,0,459.64176893234253,237.7016405761242,4.291534423828125e-05
0,-1.5,-0.25,0.8499999999999999,90,0,475.005419254303,450.35465717315674,4.291534423828125e-05
0,-1.5,-0.25,0.8499999999999999,135,0,0.0,85.79380333423615,720.0
0,-1.5,-0.25,0.8499999999999999,135,0,0.0,1046.891040802002,720.0
0,-1.5,-0.25,0.8499999999999999,180,0,434.83622789382935,217.2365054488182,6.437301635742188e-05
